Submission id,Participant id,Status,Custom study tncs accepted at,Started at,Completed at,Reviewed at,Archived at,Time taken,Completion code
65e929b26dee8323f49a47e3,654108d38225e168af4b1fa0,APPROVED,Not Applicable,2024-03-07T02:43:06.654000Z,2024-03-07T03:16:57.076000Z,2024-03-07T06:21:54.347000Z,2024-03-07T03:16:57.673079Z,2031,CZ6DTRHZ
65e961ae210fe88891e86af4,5d7ff4aa50fda7001a863736,APPROVED,Not Applicable,2024-03-07T06:43:55.288000Z,2024-03-07T07:23:41.579000Z,2024-03-07T19:49:02.614000Z,2024-03-07T07:23:42.226338Z,2387,CZ6DTRHZ
65e9beb39765a563e5c733cc,6081806ab383aa89f6c61940,APPROVED,Not Applicable,2024-03-07T13:18:55.174000Z,2024-03-07T14:07:15.168000Z,2024-03-07T19:49:11.070000Z,2024-03-07T14:07:15.734760Z,2900,CZ6DTRHZ
65e9ddd75852f696b39c49ba,656e3caa43f1f7f0615252ff,APPROVED,Not Applicable,2024-03-07T15:31:41.707000Z,2024-03-07T16:04:07.503000Z,2024-03-07T19:49:14.339000Z,2024-03-07T16:05:42.269046Z,1946,CZ6DTRHZ
65ea1694e0812311e7cebae5,60d731567049e5132e3cc4d4,APPROVED,Not Applicable,2024-03-07T19:40:31.297000Z,2024-03-07T20:15:08.910000Z,2024-03-08T19:49:24.149000Z,2024-03-07T20:15:09.417525Z,2078,CZ6DTRHZ
65eb7a01ff885af50b68e41d,65e1f75ab3efd22e847cfbf0,APPROVED,Not Applicable,2024-03-08T20:50:15.476000Z,2024-03-08T21:34:47.019000Z,2024-03-10T20:37:08.640000Z,2024-03-08T21:34:47.757898Z,2672,CZ6DTRHZ
65ecced813834a3f64cde5f1,65e358d9c5e3ee026268b2a7,APPROVED,Not Applicable,2024-03-09T21:05:19.054000Z,2024-03-09T21:37:43.661000Z,2024-03-10T20:37:09.582000Z,2024-03-09T21:37:44.102217Z,1945,CZ6DTRHZ
65eef1bdb1ca8107b11d811b,65e887048551ab47a70ef484,APPROVED,Not Applicable,2024-03-11T12:01:54.925000Z,2024-03-11T23:32:27.309000Z,2024-03-11T23:32:27.548000Z,,41433,Manual Completion
65e834e0d90e062435a2739a,6593a83101d6fe53212cb6dd,APPROVED,Not Applicable,2024-03-06T09:22:08.569000Z,2024-03-06T09:55:52.316000Z,2024-03-06T20:56:03.646000Z,2024-03-06T09:55:52.959258Z,2024,CZ6DTRHZ
65f36dac83f017e4c078abe1,63619eb02e5bd8f4f7bd138a,APPROVED,Not Applicable,2024-03-14T21:39:28.331000Z,2024-03-14T22:16:30.489000Z,2024-03-14T22:33:37.095000Z,2024-03-14T22:16:53.707577Z,2223,CZ6DTRHZ
65f371679f6e44f4934ca988,65d54b3b524fcafb543d1b23,APPROVED,Not Applicable,2024-03-14T21:53:38.166000Z,2024-03-14T22:32:27.125000Z,2024-03-14T22:33:45.761000Z,2024-03-14T22:33:53.117529Z,2329,CZ6DTRHZ
65f37469fd5a53d9afb9c9cb,6596a5cad60ef105b6c18897,APPROVED,Not Applicable,2024-03-14T22:04:35.245000Z,2024-03-14T22:44:27.038000Z,2024-03-15T04:21:40.644000Z,2024-03-14T22:44:27.509525Z,2392,CZ6DTRHZ
65f376aefad7a15747058d02,65cb63e160bb47fbf9349269,APPROVED,Not Applicable,2024-03-14T22:14:17.398000Z,2024-03-14T23:09:07.998000Z,2024-03-15T04:21:48.484000Z,2024-03-14T23:09:10.628555Z,3291,CZ6DTRHZ
65f377b453f37236144c1aec,65b15afd94153c1f50c92493,APPROVED,Not Applicable,2024-03-14T22:18:46.428000Z,2024-03-14T22:53:59.994000Z,2024-03-15T04:21:41.893000Z,2024-03-14T22:54:00.515910Z,2114,CZ6DTRHZ
65f37b3ce13fca944ca2340a,629e241d171ec6698e05f149,APPROVED,Not Applicable,2024-03-14T22:33:32.764000Z,2024-03-14T23:08:04.611000Z,2024-03-15T04:21:43.172000Z,2024-03-14T23:08:05.097203Z,2072,CZ6DTRHZ
65f37df4fd2c427f3278ace3,65cc19b4b3d48a22dfc6756d,APPROVED,Not Applicable,2024-03-14T22:47:32.312000Z,2024-03-14T23:20:40.793000Z,2024-03-15T04:21:47.608000Z,2024-03-14T23:20:41.429433Z,1989,CZ6DTRHZ
